prompt,title,essay,competence,score
6,"Amazonas, um bem de todos nós","['Amazonas, sem ela ele os dias do brasil Brasil estão contados, o presidente jair bolsonaro, devia contados. O presidente Jair Bolsonaro deveria estar fazendo algo para-lhe para mostrar para nos nós, brasileiros, mais eu na verdade mas eu, na verdade, acho ele deve estar brincando com a as nossas caras.', 'Mas e ele nao Mas ele não sente o ar pesado de poluição e desmatamento, à amazonas ela desmatamento. O Amazonas é importante para uma parte do planeta, ou melhor ela melhor, ele gera oxigênio limpo e puro e puro. Mas, com esse incêndio, muitos estados de outros países vizinhos estão sofrendo com a umidade relativa do ar, à amazonas Amazonas e bem da sociedade que se importa com a natureza e também com o planeta, mais mas uma coisa é certa logo esse incêndio ira irá ser controlado e apagado para a felicidade da nacionalidade brasileira...']","[0, 0, 0, 0, 0]",0
6,Pulmões limpos e estômagos vazios.,"['A floresta amazônica sempre despertou e ainda desperta vários interesses nacionais e internacionais. Ela é explorada nacionalmente por extratores de madeira, garimpos, agricultores, etc., já etc. Já os outros países, demonstram países demonstram preocupação ambiental, porém, em grande parte parte, com um falso discurso.', 'É através de uma queimada que acontece naturalmente uma vez por ano, somada a fotos antigas divulgadas como se fosse a tempo real e em redes sociais por celebridades, por celebridades em redes sociais como se fossem atuais, que são disseminadas informação informações de que a Amazônia está em chamas. Esta intenção é a demonstração de um sentido político contrário ao atual governo brasileiro que comprova claramente sua propriedade nacional que é essa região.', 'Moradores deste desse local informam que essas queimadas acontecem anualmente devido ao clima seco da época do ano.', 'O lençol freático da região é motivo de cobiça internacional e o presidente francês Macron, devido a à perda de força política e credibilidade em seu governo, utiliza-se atualmente de discurso ambiental, se intitulando intitulando-se um salvador preocupado com o planeta.', 'Todos devemos preservar o planeta e a Amazônia também é composta por regiões de outros países, sendo no Peru, altamente contaminada por mercúrio da extração de ouro, todavia somente o Brasil é lembrado.', 'A Amazônia pertence ao Brasil e não é território internacional, sendo assim, benéfica ao mundo a partir do momento em que é preservada, sem deixar também de ser corretamente explorada para benefício econômico somente para o Brasil, da mesma forma que seria feito, talvez até de forma indiscriminada por nações hipócritas.']","[120, 120, 80, 80, 120]",520
6,Amazônia e o mundo,"['Desde o periodo pré-colonial período pré-colonial, com a chegada dos portugueses (1500) (1500), o desmatamento tem se tornado tornou-se constante, danificando o ecossistema. Muita Muitas das árvores que crescem no Brasil, cada uma com sua peculiaridade, foi ou é utilizada foram ou são utilizadas para o consumo econômico dos que o fazem, extraindo borracha, tinta ou algo que possa render capital para si.', 'Queimas ou desmatamento na Amazônia é algo que sempre ocorreu, considerando um evento natural que pode ser agravado pelo homem. Só que, em 2019 2019, houve um aumento que supera todos os outros anos que o mesmo o tinha ocorrido, procupando preocupando não só o Brasil, mas também os outros países.', 'O problema da Amazônia é algo com que o proprietário desse imenso terrêno terreno deve se preocupar. Mas, se o dono não consegue resolver, por ser algo que ira irá prejudicar não só uma área mas sim o mundo todo, ai aí passa há a ser um desafio internacional, já que todo o globo pode passar por mudanças indesejáveis.', 'Baseado nos fatos abordados acima, podemos observar que o Brasil sofre mudanças negativas em suas florestas há mais de cinco séculos e que que, se algo não for feito, provavelmente esses anos ira irão estender. Se o governo aumentase aumentasse a segurança por via aérea e terrestre, pode ser que fosse controlada e até mesmo diminuida gradativamente as ações do homem fossem controladas e até diminuídas gradativamente as ações do homem. Com isso evitando a morte da Amazônia, o aquecimento global e as mudanças climaticas climáticas.']","[80, 80, 80, 80, 80]",400
6,somos responsável ,"['Ao falar sobre a floresta amazônica amazônica, ela vitima vítima de irresponsabilidade do governo e dos grupos criminoso criminosos que explorar exploram de maneira irregular irregular, sem o devido processo de sustentabilidade sustentabilidade, tanto que somos observado observados diariamente mundo lá fora.', 'inicialmente Inicialmente, a negligencia negligência do governo quando se fala na questão ambiental e é tratada de modo relaxada relaxado, além disso as à legislação já existente existente, não e é dada a atenção correta correta, o que deixa todos preocupados ocorrido dentro do pais país revela na qual não estamos fazendo nossa obrigação correta para sua preservação já imaginamos uma floresta sem arvore árvores, com rios poluído poluídos de metais pesado pesados, devido à extração de ouro e outros matérias outras matérias, pois é possível se essa essas medidas não for colocada forem colocadas em prioridade em pouco tempo não teremos essa biodiversidade de características única únicas que países como a França alertou não só o brasil Brasil como também Colômbia, Bolívia, Peru. levantou Levantou uma hipótese sobre a internacionalização, evidente que França tem uma colônia na floresta amazônica localizada na Guiana francesa e maior área protegida não só pelos franceses mas da união europeia União Europeia são modelo para outras nações.', 'é É importante ressaltar que sustentabilidade poderá ser um dos requisito requisitos para um pais ser país se desenvolver economicamente com outra nação diverso acordo comercial uma vez afirmado sinaliza estamos comprimindo as nossa leis interna internas porque somos os responsável responsáveis pelo ato que produzimos não podemos terceirizar as nossa responsabilidade nossas responsabilidades.', 'por Por fim as consequências devastadora devastadoras de uma politica política ambiental obsoletada obsoleta mostra que mundo tão acompanhado está acompanhando atenciosamente as atitudes tomada tomadas teremos muitos desafio desafios para cumprir ser um pais país em que possa preservar é crescer de forma sustentável.']","[0, 0, 0, 0, 0]",0
6,A falsa posse sob  a natureza,"['É de conhecimento geral, que geral que é dever de todos cuidar do ambiente em que se vive. Visto que, a vive, visto que a falta de cuidado e preservação, pode preservação pode nos levar à ruína. No entanto, o número de queimadas e desmatamento no território amazônico, cresceu amazônico cresceu absurdamente devido a à falta de conscientização e à negligência governamental.', 'A priori, não se pode tomar posse total da natureza, posto que é por meio dela que o oxigênio passa a ser mais purificado e nos dá ar fresco. Contudo, passaram-se mais de 10 dias de queima contínua no território da Amazônia, tal ato fizera Amazônia. Isso fez animais serem mortos, indígenas mortos e indígenas terem reservas atingidas, causando grande problema ambiental. Por conseguinte, tal celeuma tornou-se assunto internacional.', 'Outrossim Além disso, os recursos usados pelo governo brasileiro foram mínimas mínimos. Entretanto, não faltou ajuda, o presidente da França propôs a ideia da Amazônia ganhar status internacional, tal atitude traria grande ajuda de preservação. Sobretudo, não há alguém que possa comprar a natureza, visto que sua vida independe da nossa, porém poderíamos prolongar seus dias recebendo ajuda até mesmo internacional.', 'Depreende-se, portanto, que é necessário abrir mão de posses territoriais para salvar nossa fonte de vida. Logo, faz-se mister, que mister que o governo brasileiro brasileiro, por meio do Ministério do Meio Ambiente, entre em acordo com o Governo da França, para receber os recursos necessários, com o fito de nos tornamos um país mais empático e humanitário.']","[80, 120, 120, 80, 80]",480
6,Cooperação Mundial,"['O controle das queimadas na região amazônica é, sim, um desafio internacional, porém porém, há que se respeitar a soberania do estado brasileiro no que diz respeito ao seu território.', 'Porém lideres Porém, líderes políticos do atual governo defendem a ideia de que o Brasil não precisa da intervenção internacional para controlar as queimadas na região amazônica e que esse interesse em intervir, de outros países países, como a França França, por exemplo, trata-se de um complô para que o Brasil perca a soberania sobre a região amazônica e consequentemente e, consequentemente, o seu direito de exploração.', 'Entretanto Entretanto, o fundo amazônico criado para auxiliar as ""ong\'s"" ONGs que trabalham com a preservação e combate a queimadas na região amazônica, custeado por alguns países europeus, é a prova cabal de que os recursos internacionais são importantes para o governo brasileiro. Nesse sentido sentido, basta observar que a suspenção suspensão desse fundo por parte dos países colaboradores, devido a uma reformulação na politica política ambiental por parte do atual governo, resultou no aumento no aumento das queimadas, visto que as ""ong\'s"" ONGs ficaram sem recursos para auxiliar os órgãos responsáveis. Isso levou o governo a tomar medidas emergências emergenciais: emissão de decreto presidencial suspendendo as queimadas, ainda que legais, e o envio das forças armadas para auxiliar no combate as queimadas.', 'Portanto Portanto, fica evidente a necessidade do apoio de outros países na preservação da região amazônica amazônica, respeitando, sempre, a soberania do estado brasileiro.']","[120, 120, 120, 120, 120]",600
6,Amazonas,"['A Amazonas O Amazonas, patrimônio brasileiro, tem um ecossistema rico de variações.', 'Contudo ao invés de usarmos ao Contudo, em vez de usá-lo a nosso favor, cuidando e explorando nossa fauna e flora cuidando de nossa fauna e flora, e explorando-as, temos nos importado pouco, deixando que aconteça aconteçam catástrofes, tendo como exemplo como, por exemplo, as queimadas que aconteceram acontecem atualmente.', 'Tendo em vista que não foi a primeira vez e nem a segunda, portanto o que levou tanta comoção na internet e em programas de TV foi que chegou a à grande São Paulo, tendo muita visibilidade.', 'Se o Brasil tiver como investi investir no reflorestamento e cuidados na fauna e flora presente na presente no Amazonas, seria bom, ao contrário do contrário, temos que pensar no nosso planeta não só no país não só no nosso país, mas também no planeta e deixar deixa-lo com um país que tenha como investir nela nele.']","[80, 120, 80, 80, 80]",440
6,A Caixa de Pandora Brasileira,"['O filme ""Avatar"" apresenta o planeta Pandora, local habitado pelos extraterrestres ""Na´Vis"", os quais mantêm uma relação harmoniosa com a Natureza. Entretanto, a chegada dos humanos à procura de metais preciosos nesse território perturba a paz dos nativos e ameaça o equilíbrio ambiental. Embora ficcional, esse panorama retrata a busca de ganho monetário em detrimento da preservação do Meio Ambiente, como as constantes perdas da cobertura vegetal da Amazônia, propiciadores propiciadoras do agronegócio. Com isso, o combate à exploração amazônica é um incontestável e urgente dever brasileiro.', 'A princípio, é preciso analisar as causas da destruição da Amazônia. Nesse sentido, muitos agropecuaristas inconscientes desmatam essa região, ao retirar a vegetação natural, para formar pastos, onde ocorrerá a criação de gado, o qual posteriormente será comercializado. Esses locais, com o decorrer do tempo, após o intenso pisoteamento pisoteio dos animais, desgastam-se e, consequentemente, perdem sua fertilidade. Além disso, também são realizados incêndios para facilitar a remoção da cobertura vegetal, o que libera CO2 em excesso, o qual fica retido no ar, intoxicando-o, principalmente pela falta de árvores que realizam a fotossíntese, ou seja, retêm dióxido de carbono e liberam oxigênio. Logo, esse tipo de pecuária não sustentável destrói o Meio Ambiente e deve ser combatido.', 'Por conseguinte, esses crimes contra a Amazônia suscitam debates acerca da responsabilidade governamental do Brasil, focadas, atualmente, nos incêndios iniciados em Rondônia, que se espalharam para outros lugares do país e, ainda, não foram resolvidos. Desse modo, ao considerar a soberania brasileira com relação à região amazônica, denota-se percebe-se a responsabilidade intransferível que o país tem de cuidar de sua preservação, além preservação. Além de prevenir crimes, o governo precisa fiscalizar adequadamente essas áreas e impedir a exploração desnecessária.', 'Portanto, cabe ao Ministério da Agricultura, Pecuária e Abastecimento incentivar, por meio de pagamento de subsídios agrícolas aos produtores, a prática da pecuária sustentável na Amazônia, ao rotacionar o uso do solo, evitando desgastá-lo, além de incitar a plantação de árvores para reduzir o impacto do agronegócio. Ademais, o governo deve fiscalizar essas áreas para que não haja atividades ilegais, impedindo a exploração mostrada em ""Avatar"".']","[200, 160, 160, 160, 200]",880
6,Preservação da Amazônia,"['Sabe-se que, apesar de a Amazônia não ser o pulmão do mundo, ela é fundamental para o controle ambiental do planeta. As decorrentes recorrentes queimadas e o desmatamento colocam em risco o equilíbrio da floresta e e, conseguintemente, dos demais biomas.', 'O atual presidente da França levantou, após doações de diversos países a fim de reestruturar a floresta, uma sugestão: tornar seu estatuto internacional. Não só a Amazônia, mas também outros territórios que implicam no o funcionamento ambiental, como as zonas glaciais, tornando-as de importância mundial.', 'Devido aos fatos mencionados, nota-se que os países que custearam a manutenção da floresta desejam, além de reconhecimento, regência acerca a administração do bioma. O que é conveniente, afinal, aumentaria a interação entre os países na exploração correta da floresta, além da sua proteção melhor mais bem distribuída, tornando-a ""problema"" de todos.', 'No momento, a reestruturação da Amazônia é prioridade e também é de suma importância sua proteção, prevenindo-a de destruições futuras. Além disso, a exploração adequada de seus recursos, contribuindo para a economia e crescimento do Brasil e dos países aliados ao bioma que é patrimônio da humanidade.']","[120, 80, 120, 120, 80]",520
6,"Preservação do meio ambiente, um dever de todos!","['As pautas ambientalistas têm sido cada vez mais discutidas no cenário mundial, o qual em que, mais recentemente, passou passou-se a discutir sobre a exploração da floresta amazônica. A grande questão é se a floresta deve ganhar ""status"" internacional ou se deve continuar sendo responsabilidade dos países que compõem abrangem a Amazônia. Mas seria justa justo que apenas alguns países da América do Sul tivessem que ceder suas florestas em prol do planeta, enquanto outras nações que já exploraram suas vegetações não pagam nada por isso?', 'A floresta amazônica é a maior do mundo e sua exploração causaria muitos impactos ao planeta, no entanto, não se pode exigir que apenas os países que compõem abrangem a Amazônia paguem a conta pelos países que já exploraram suas vegetações. Para que isso ocorra de maneira justa, todos os países deveriam ter uma porcentagem mínima de floresta preservada, e os que não conseguissem manter o mínimo, deveriam pagar aos que possuem mais áreas preservadas.', 'Dessa maneira, o Brasil seria capaz de extrair recursos financeiros da Amazônia sem ter que explorá-la, mantendo, assim, a integridade do ecossistema do planeta.', 'Com isso, pode-se concluir que é preciso sim preservar a floresta amazônica, mas essa tarefa também é responsabilidade dos países que já exploraram suas vegetações e devem, portanto, pagar por isso. Assim, o Brasil preservaria suas florestas em prol do planeta e seria remunerado pelas nações que não puderam fazê-lo.']","[160, 160, 160, 160, 160]",800
